"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8344","Задание. Использовать черновик (ученик не присоединен по коду)","default","Sat Feb 28 15:34:30 UTC 2026","passed","Sat Feb 28 15:34:39 UTC 2026","Tests Tasks Educonts- student","","",""
"","10142","Категории. Переход из тренажера учителя (не авторизованный) в тренажер ученика (не присоединен)","default","Sat Feb 28 15:32:30 UTC 2026","passed","Sat Feb 28 15:32:40 UTC 2026","Tests Category Educonts","","",""
"","4455","Курс. Войти в тренажер по ссылке (ученик присоединен к классу)","default","Sat Feb 28 15:33:12 UTC 2026","passed","Sat Feb 28 15:33:17 UTC 2026","Tests Course Educonts- student","","",""
"","9664","Выбор фильтров","default","Sat Feb 28 15:22:25 UTC 2026","passed","Sat Feb 28 15:22:34 UTC 2026","Tests Parent Catalog Tasks","","",""
"","11907","Учитель: Авторизация по логину и паролю","default","Sat Feb 28 15:19:53 UTC 2026","passed","Sat Feb 28 15:20:05 UTC 2026","Tests: All users autorization","","",""
"","50114","Родитель: Авторизация по email и паролю","default","Sat Feb 28 15:20:18 UTC 2026","broken","Sat Feb 28 15:21:09 UTC 2026","Tests: Landing autorization","","",""
"","7524","Курс. Переход по разделам и модулям курса (код от учителя не введен)","default","Sat Feb 28 15:33:05 UTC 2026","passed","Sat Feb 28 15:33:12 UTC 2026","Tests Course Educonts- student","","",""
"","7500","Курсы. Переход из тренажера ученика (присоединен) в тренажер учителя (не авторизован)","default","Sat Feb 28 15:33:53 UTC 2026","passed","Sat Feb 28 15:34:01 UTC 2026","Tests Course Educonts- student","","",""
"","8807","Курсы. Переход из тренажера учителя (не авторизованный) в тренажер ученика (не присоединен)","default","Sat Feb 28 15:31:22 UTC 2026","passed","Sat Feb 28 15:31:30 UTC 2026","Tests Course Educonts","","",""
"","8897","Удаление ученика/учеников","default","Sat Feb 28 15:22:16 UTC 2026","passed","Sat Feb 28 15:22:25 UTC 2026","Tests Parent Cabinet","","",""
"","4976","Добавление первого ребёнка","default","Sat Feb 28 15:22:00 UTC 2026","passed","Sat Feb 28 15:22:05 UTC 2026","Tests Parent Cabinet","","",""
"","14118","Поиск заданий","default","Sat Feb 28 15:27:03 UTC 2026","passed","Sat Feb 28 15:27:17 UTC 2026","Tests Teacher Catalog Tasks","","",""
"","15339","Категории. Пройти опрос (ученик не присоединен к классу)","default","Sat Feb 28 15:36:18 UTC 2026","passed","Sat Feb 28 15:36:33 UTC 2026","Tests Category Educonts- student","","",""
"","18176","Покупка заданий по карте","default","Sat Feb 28 15:22:47 UTC 2026","passed","Sat Feb 28 15:23:05 UTC 2026","Tests Parent Catalog Tasks","","",""
"","50775","Курс. Посмотреть статистику по курсу (введен код от учителя)","default","Sat Feb 28 15:33:38 UTC 2026","broken","Sat Feb 28 15:34:29 UTC 2026","Tests Course Educonts- student","","",""
"","22778","Родитель: Регистрация по email и коду","default","Sat Feb 28 15:18:49 UTC 2026","passed","Sat Feb 28 15:19:11 UTC 2026","Tests: All users register","","",""
"","13867","Переход по разделам Хедера","default","Sat Feb 28 15:23:06 UTC 2026","failed","Sat Feb 28 15:23:19 UTC 2026","Tests Parent Catalog Tasks","","",""
"","16109","Переход по разделам Хедера","default","Sat Feb 28 15:25:41 UTC 2026","failed","Sat Feb 28 15:25:57 UTC 2026","Tests Student(parent) Catalog Tasks","","",""
"","10101","Покупка годового пакета по карте","default","Sat Feb 28 15:24:56 UTC 2026","failed","Sat Feb 28 15:25:07 UTC 2026","Tests Indep Student Shop Page","","",""
"","19903","Переход по разделам Хедера","default","Sat Feb 28 15:24:36 UTC 2026","failed","Sat Feb 28 15:24:56 UTC 2026","Tests Indep Student Catalog Tasks","","",""
"","7685","Редактирование класса","default","Sat Feb 28 15:26:19 UTC 2026","passed","Sat Feb 28 15:26:27 UTC 2026","Tests Teacher Cabinet","","",""
"","1","Самостоятельный ученик: Авторизация по email и коду с почты","default","Sat Feb 28 15:20:05 UTC 2026","skipped","Sat Feb 28 15:20:05 UTC 2026","Tests: All users autorization","","",""
"","50223","Категории. Пройти опрос, а затем присоединиться к классу","default","Sat Feb 28 15:36:22 UTC 2026","broken","Sat Feb 28 15:37:13 UTC 2026","Tests Category Educonts- student","","",""
"","15602","Создание задания родителем","default","Sat Feb 28 15:22:16 UTC 2026","passed","Sat Feb 28 15:22:31 UTC 2026","Tests Parent Cabinet","","",""
"","24659","Покупка заданий со счёта кошелька","default","Sat Feb 28 15:23:02 UTC 2026","passed","Sat Feb 28 15:23:27 UTC 2026","Tests Parent Catalog Tasks","","",""
"","0","Учитель: Авторизация по email и коду с почты","default","Sat Feb 28 15:19:59 UTC 2026","skipped","Sat Feb 28 15:19:59 UTC 2026","Tests: All users autorization","","",""
"","11606","Курс. Задачи-Демолинк","default","Sat Feb 28 15:30:57 UTC 2026","passed","Sat Feb 28 15:31:08 UTC 2026","Tests Course Educonts","","",""
"","12422","Администратор: Авторизация по логину и паролю","default","Sat Feb 28 15:20:05 UTC 2026","passed","Sat Feb 28 15:20:17 UTC 2026","Tests: All users autorization","","",""
"","14168","Самостоятельный ученик: Авторизация по логину и паролю","default","Sat Feb 28 15:20:04 UTC 2026","passed","Sat Feb 28 15:20:18 UTC 2026","Tests: All users autorization","","",""
"","12353","Открытие раннера из предмета","default","Sat Feb 28 15:24:18 UTC 2026","passed","Sat Feb 28 15:24:30 UTC 2026","Tests Indep Student Catalog Tasks","","",""
"","14343","Курс. Онбординг-учитель не авторизован. Демо","default","Sat Feb 28 15:31:00 UTC 2026","passed","Sat Feb 28 15:31:15 UTC 2026","Tests Course Educonts","","",""
"","6978","Задание. Узнать информацию об уроке(ученик не присоединен по коду)","default","Sat Feb 28 15:34:19 UTC 2026","passed","Sat Feb 28 15:34:26 UTC 2026","Tests Tasks Educonts- student","","",""
"","10198","Добавление ученика из селекта выбора","default","Sat Feb 28 15:22:06 UTC 2026","passed","Sat Feb 28 15:22:16 UTC 2026","Tests Parent Cabinet","","",""
"","7444","Пополнение кошелька","default","Sat Feb 28 15:22:17 UTC 2026","passed","Sat Feb 28 15:22:25 UTC 2026","Tests Parent Cabinet","","",""
"","16290","Создание домашней работы для всего класса","default","Sat Feb 28 15:27:20 UTC 2026","passed","Sat Feb 28 15:27:36 UTC 2026","Tests Teacher Catalog Tasks","","",""
"","9288","Категории. Сохранение авторизации при удалении токенов из Cookie","default","Sat Feb 28 15:36:33 UTC 2026","passed","Sat Feb 28 15:36:43 UTC 2026","Tests Category Educonts- student","","",""
